LANG,complexityoflanguages,RSAcostoflanguages,new_col
lang1754gen1mutoff123gen2mutoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff123gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff123gen6rcoff126,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff3,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff3gen4rcoff399,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff3gen6rcoff619,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff6,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff6gen5mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff6gen5mutoff0gen9rcoff318,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff6gen6rcoff795,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff8,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff8gen17rcoff33,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff8gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff8gen3mutoff0gen4rcoff347,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff8gen3mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen2mutoff8gen3mutoff1gen9rcoff113,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen3mutoff1,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen6rcoff111,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff129gen6rcoff111gen8rcoff342,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen10rcoff151,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen10rcoff244,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen3mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen3mutoff0gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen3mutoff0gen4mutoff0gen6rcoff368,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen3mutoff0gen7rcoff290,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen3mutoff0gen7rcoff290gen20rcoff11,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff2gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff7,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff7gen4mutoff0,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen2mutoff7gen4rcoff80,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff12gen4rcoff517,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16,1,4.026879252055598,"(4.026879252055598, 1)"
lang1754gen1mutoff16gen4rcoff173,1,4.026879252055598,"(4.026879252055598, 1)"
