LANG,complexityoflanguages,costoflanguages
lang1105gen1mutoff101gen2rcoff12gen4mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff0gen5rcoff263,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff0gen5rcoff263gen23rcoff2,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff0gen7rcoff358,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff0gen7rcoff358gen8rcoff306,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff0gen7rcoff460,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff0gen8rcoff324,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff1,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen4mutoff1gen10rcoff47,1,4.776119402985076
lang1105gen1mutoff101gen2rcoff12gen6rcoff826,1,4.776119402985076
lang1105gen1mutoff101gen3mutoff2,1,4.776119402985076
lang1105gen1mutoff101gen3mutoff2gen5mutoff0,1,4.776119402985076
lang1105gen1mutoff101gen3mutoff2gen5mutoff0gen7rcoff574,1,4.776119402985076
lang1105gen1mutoff101gen3mutoff2gen5rcoff150,1,4.776119402985076
lang1105gen1mutoff101gen3mutoff4,1,4.776119402985076
lang1105gen1mutoff101gen3rcoff157,1,4.776119402985076
lang1105gen1mutoff101gen3rcoff157gen7rcoff42,1,4.776119402985076
lang1105gen1mutoff102,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17gen3mutoff2,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17gen3mutoff2gen4mutoff0,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17gen3mutoff2gen4mutoff0gen15rcoff8,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17gen3mutoff5,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17gen3mutoff5gen11rcoff131,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff17gen5mutoff0,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff26,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff26gen4mutoff0,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen10rcoff92,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen10rcoff92gen12rcoff109,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff1,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff1gen4mutoff1,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff1gen4mutoff1gen7rcoff721,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff1gen4mutoff1gen7rcoff721gen12rcoff79,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff4,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff4gen6rcoff613,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff4gen6rcoff613gen8rcoff147,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff4gen7rcoff432,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen3mutoff4gen7rcoff432gen9rcoff47,1,4.776119402985076
lang1105gen1mutoff102gen2mutoff9gen6rcoff332,1,4.776119402985076
lang1105gen1mutoff102gen3mutoff0,1,4.776119402985076
lang1105gen1mutoff102gen3mutoff0gen4mutoff0,1,4.776119402985076
lang1105gen1mutoff102gen3mutoff0gen4mutoff0gen6rcoff921,1,4.776119402985076
