"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl1152",13,3.00836702077654,2.46735553531659,"Haspel-ok"
"fl1153",13,2.2739834188709,1.79845064945665,"Haspel-ok"
"fl1154",3,4.05633802816902,3.72793104202674,"Haspel-ok"
"fl1155",10,2.12154696132597,1.67400716171836,"Haspel-ok"
"fl1156",20,1.90449949025983,1.4049955706987,"Haspel-ok"
"fl1157",17,3.33479451148404,2.60949520777629,"Haspel-ok"
"fl1158",8,2.00417536534447,1.82901482610503,"Haspel-ok"
"fl1159",10,2.43654822335025,2.03961802354785,"Haspel-ok"
"fl116",6,2.70422535211268,2.62070433021015,"Haspel-ok"
"fl1160",15,2.25193525686137,1.62394172278796,"Haspel-ok"
"fl1161",6,3.14582195521573,1.97689252998463,"Haspel-ok"
"fl1162",17,3.2665282928987,2.77545797311009,"Haspel-ok"
"fl1163",12,2.71608431178385,2.23731323127412,"Haspel-ok"
"fl1164",19,3.57396114026379,2.80754514542527,"Haspel-ok"
"fl1165",16,3.15084679007483,2.76772559918296,"Haspel-ok"
"fl1166",5,3.17617866004963,2.28352520376053,"Haspel-ok"
"fl1167",8,2.75950175662728,2.66073664110195,"Haspel-ok"
"fl1168",1,7.05882352941176,5.17602283539486,"Haspel-ok"
"fl1169",2,8.64864864864865,7.94630872483221,"Haspel-ok"
"fl117",6,1.875,1.82257507766655,"Haspel-ok"
"fl1170",16,2.97477637531762,2.26580452269903,"Haspel-ok"
"fl1171",12,3.02098958387966,2.17060229996423,"Haspel-ok"
"fl1172",14,2.72512222046996,2.24874238713398,"Haspel-ok"
"fl1173",1,5.4421768707483,4.28164000080908,"Haspel-ok"
"fl1174",12,3.33186792845739,2.2480576810963,"Haspel-ok"
"fl1175",10,2.4,2.39554317548747,"Haspel-ok"
"fl1176",9,2.65315522800553,2.35081506840659,"Haspel-ok"
"fl1177",6,3.59326263256394,3.42411644178116,"Haspel-ok"
"fl1178",16,2.72031737035988,2.03135039809592,"Haspel-ok"
"fl1179",17,2.88242604191862,2.05726984005972,"Haspel-ok"
"fl118",22,2.2514657980456,1.80325382323368,"Haspel-ok"
"fl1180",8,3.45530893821236,2.91394788096454,"Haspel-ok"
"fl1181",12,2.69410664172124,1.90383433217911,"Haspel-ok"
"fl1182",6,3.33719582850522,2.76118190189494,"Haspel-ok"
