"LANG","syn_index","cov_index","type"
"fl1139",12,6,"artificial"
"fl114",12,6,"artificial"
"fl1140",7,6,"artificial"
"fl1141",7,5,"artificial"
"fl1142",7,6,"artificial"
"fl1143",8,6,"artificial"
"fl1144",7,5,"artificial"
"fl1145",20,6,"artificial"
"fl1146",4,5,"artificial"
"fl1147",10,6,"artificial"
"fl1148",18,6,"artificial"
"fl1149",10,6,"artificial"
"fl115",6,5,"artificial"
"fl1150",14,6,"artificial"
"fl1151",13,6,"artificial"
"fl1152",7,6,"artificial"
"fl1153",1,3,"artificial"
"fl1154",0,2,"artificial"
"fl1155",9,6,"artificial"
"fl1156",4,5,"artificial"
"fl1157",17,6,"artificial"
"fl1158",14,6,"artificial"
"fl1159",0,3,"artificial"
"fl116",4,4,"artificial"
"fl1160",8,6,"artificial"
"fl1161",3,5,"artificial"
"fl1162",22,6,"artificial"
"fl1163",4,6,"artificial"
"fl1164",11,6,"artificial"
"fl1165",4,5,"artificial"
"fl1166",2,5,"artificial"
"fl1167",0,4,"artificial"
"fl1168",2,6,"artificial"
"fl1169",13,6,"artificial"
"fl117",0,4,"artificial"
"fl1170",0,1,"artificial"
"fl1171",19,6,"artificial"
"fl1172",8,5,"artificial"
"fl1173",0,4,"artificial"
"fl1174",7,6,"artificial"
"fl1175",14,6,"artificial"
"fl1176",4,5,"artificial"
"fl1177",0,3,"artificial"
"fl1178",1,4,"artificial"
"fl1179",16,5,"artificial"
"fl118",5,4,"artificial"
"fl1180",10,4,"artificial"
"fl1181",0,3,"artificial"
"fl1182",0,5,"artificial"
"fl1183",6,6,"artificial"
"fl1184",6,5,"artificial"
"fl1185",9,6,"artificial"
"fl1186",2,6,"artificial"
"fl1187",5,5,"artificial"
"fl1188",2,5,"artificial"
"fl1189",3,6,"artificial"
"fl119",6,5,"artificial"
"fl1190",7,5,"artificial"
"fl1191",10,6,"artificial"
"fl1192",9,6,"artificial"
"fl1193",3,6,"artificial"
"fl1194",7,6,"artificial"
"fl1195",0,3,"artificial"
"fl1196",6,6,"artificial"
"fl1197",6,5,"artificial"
"fl1198",9,6,"artificial"
"fl1199",10,6,"artificial"
"fl12",2,3,"artificial"
"fl120",9,5,"artificial"
"fl1200",18,6,"artificial"
"fl1201",6,6,"artificial"
"fl1202",2,5,"artificial"
"fl1203",12,5,"artificial"
"fl1204",8,6,"artificial"
"fl1205",9,6,"artificial"
"fl1206",0,5,"artificial"
"fl1207",0,3,"artificial"
"fl1208",0,5,"artificial"
"fl1209",0,2,"artificial"
"fl121",2,5,"artificial"
"fl1210",14,6,"artificial"
"fl1211",0,3,"artificial"
"fl1212",9,6,"artificial"
"fl1213",17,6,"artificial"
"fl1214",0,4,"artificial"
"fl1215",2,5,"artificial"
"fl1216",0,2,"artificial"
"fl1217",0,5,"artificial"
"fl1218",20,6,"artificial"
"fl1219",7,6,"artificial"
"fl122",12,6,"artificial"
"fl1220",6,6,"artificial"
"fl1221",5,5,"artificial"
"fl1222",0,3,"artificial"
"fl1223",0,1,"artificial"
"fl1224",14,6,"artificial"
"fl1225",7,6,"artificial"
"fl1226",13,6,"artificial"
"fl1227",2,5,"artificial"
"fl1228",11,6,"artificial"
"fl1229",8,6,"artificial"
"fl123",2,4,"artificial"
"fl1230",2,6,"artificial"
"fl1231",3,6,"artificial"
"fl1232",0,3,"artificial"
"fl1233",0,3,"artificial"
"fl1234",13,6,"artificial"
"fl1235",2,4,"artificial"
"fl1236",0,2,"artificial"
"fl1237",4,6,"artificial"
"fl1238",0,4,"artificial"
"fl1239",11,6,"artificial"
"fl124",16,6,"artificial"
"fl1240",4,6,"artificial"
"fl1241",12,5,"artificial"
"fl1242",0,2,"artificial"
"fl1243",9,6,"artificial"
"fl1244",17,6,"artificial"
"fl1245",8,6,"artificial"
"fl1246",18,6,"artificial"
"fl1247",2,5,"artificial"
"fl1248",6,6,"artificial"
"fl1249",2,5,"artificial"
"fl125",9,6,"artificial"
"fl1250",9,6,"artificial"
"fl1251",16,6,"artificial"
"fl1252",7,6,"artificial"
"fl1253",1,3,"artificial"
"fl1254",9,5,"artificial"
"fl1255",3,6,"artificial"
"fl1256",18,6,"artificial"
"fl1257",17,6,"artificial"
"fl1258",19,6,"artificial"
"fl1259",11,6,"artificial"
"fl126",16,6,"artificial"
"fl1260",6,6,"artificial"
"fl1261",0,3,"artificial"
"fl1262",3,5,"artificial"
"fl1263",7,5,"artificial"
"fl1264",23,6,"artificial"
"fl1265",9,6,"artificial"
"fl1266",0,4,"artificial"
"fl1267",10,6,"artificial"
"fl1268",16,6,"artificial"
"fl1269",11,6,"artificial"
"fl127",6,6,"artificial"
"fl1270",10,5,"artificial"
"fl1271",1,4,"artificial"
"fl1272",11,6,"artificial"
"fl1273",0,2,"artificial"
"fl1274",10,6,"artificial"
"fl1275",9,6,"artificial"
"fl1276",11,5,"artificial"
"fl1277",13,6,"artificial"
"fl1278",4,5,"artificial"
"fl1279",10,6,"artificial"
"fl128",19,6,"artificial"
"fl1280",15,6,"artificial"
"fl1281",1,4,"artificial"
"fl1282",7,6,"artificial"
"fl1283",3,5,"artificial"
"fl1284",2,4,"artificial"
