LANG,complexityoflanguages,costoflanguages,new_col
lang1320gen1mutoff113gen2mutoff2gen3mutoff14gen4mutoff2gen9rcoff35,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff17,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff17gen13rcoff140,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff18,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff2,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff2gen5mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff2gen7rcoff388,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen4mutoff2,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen4mutoff2gen5rcoff103,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen4mutoff2gen5rcoff103gen9rcoff17,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen4rcoff163,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen4rcoff163gen6mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen4rcoff163gen6mutoff0gen9rcoff34,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen6mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen6rcoff85,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen3mutoff4gen6rcoff85gen8rcoff40,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen4rcoff76,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen4rcoff76gen5mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen4rcoff76gen6mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen7rcoff261,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen8rcoff189,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen9rcoff379,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff2gen9rcoff461,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff3,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen11rcoff85,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen13rcoff107,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4mutoff0gen7rcoff294,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4mutoff0gen7rcoff294gen8rcoff583,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4mutoff0gen7rcoff294gen8rcoff583gen9rcoff220,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4mutoff0gen7rcoff294gen9rcoff491,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4rcoff188,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen3mutoff1gen4rcoff188gen20rcoff4,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen4mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen4mutoff3,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen5mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen5mutoff1,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen5mutoff1gen11rcoff242,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff35gen7rcoff25,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff3gen3mutoff1,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff3gen3mutoff12,1,4.776119402985076,"(4.776119402985076, 1)"
lang1320gen1mutoff113gen2mutoff3gen3mutoff12gen5mutoff0,1,4.776119402985076,"(4.776119402985076, 1)"
