LANG,complexityoflanguages,RSAcostoflanguages
lang0gen1mutoff28gen4rcoff397,1,4.026879252055598
lang0gen1mutoff28gen4rcoff397gen6rcoff758,1,4.026879252055598
lang0gen1mutoff28gen4rcoff52,1,4.026879252055598
lang0gen1mutoff28gen4rcoff52gen5rcoff60,1,4.026879252055598
lang0gen1mutoff28gen4rcoff52gen9rcoff358,1,4.026879252055598
lang0gen1mutoff28gen5mutoff0,1,4.026879252055598
lang0gen1mutoff28gen5mutoff0gen6rcoff407,1,4.026879252055598
lang0gen1mutoff28gen5mutoff0gen7rcoff295,1,4.026879252055598
lang0gen1mutoff28gen5mutoff0gen7rcoff295gen9rcoff354,1,4.026879252055598
lang0gen1mutoff28gen5mutoff0gen9rcoff42,1,4.026879252055598
lang0gen1mutoff3,1,4.026879252055598
lang0gen1mutoff3gen11rcoff122,1,4.026879252055598
lang0gen1mutoff3gen2mutoff0,1,4.026879252055598
lang0gen1mutoff3gen2mutoff0gen4mutoff0,1,4.026879252055598
lang0gen1mutoff3gen2mutoff0gen4mutoff0gen7rcoff442,1,4.026879252055598
lang0gen1mutoff3gen2mutoff0gen4mutoff0gen7rcoff442gen9rcoff230,1,4.026879252055598
lang0gen1mutoff3gen2mutoff0gen5mutoff0,1,4.026879252055598
lang0gen1mutoff3gen2mutoff0gen5mutoff0gen14rcoff3,1,4.026879252055598
lang0gen1mutoff3gen2mutoff6,1,4.026879252055598
lang0gen1mutoff3gen2mutoff6gen3mutoff0,1,4.026879252055598
lang0gen1mutoff3gen2mutoff6gen3mutoff0gen8rcoff500,1,4.026879252055598
lang0gen1mutoff3gen2mutoff6gen3mutoff1,1,4.026879252055598
lang0gen1mutoff3gen2mutoff6gen3mutoff1gen7rcoff334,1,4.026879252055598
lang0gen1mutoff3gen4rcoff22,1,4.026879252055598
lang0gen1mutoff3gen4rcoff22gen14rcoff71,1,4.026879252055598
lang0gen1mutoff3gen4rcoff22gen5mutoff0,1,4.026879252055598
lang0gen1mutoff3gen4rcoff22gen6rcoff166,1,4.026879252055598
lang0gen1mutoff3gen4rcoff22gen7rcoff65,1,4.026879252055598
lang0gen1mutoff3gen6rcoff733,1,4.026879252055598
lang0gen1mutoff4,1,4.026879252055598
lang0gen1mutoff4gen3mutoff0,1,4.026879252055598
lang0gen1mutoff6,1,4.026879252055598
lang0gen1mutoff6gen2mutoff10,1,4.026879252055598
lang0gen1mutoff6gen2mutoff10gen5mutoff0,1,4.026879252055598
lang0gen1mutoff6gen2mutoff11,1,4.026879252055598
lang0gen1mutoff6gen2mutoff11gen6rcoff355,1,4.026879252055598
lang0gen1mutoff6gen2mutoff11gen8rcoff423,1,4.026879252055598
lang0gen1mutoff6gen2mutoff5,1,4.026879252055598
lang0gen1mutoff6gen2mutoff5gen12rcoff122,1,4.026879252055598
lang0gen1mutoff6gen2mutoff5gen5mutoff0,1,4.026879252055598
lang0gen1mutoff6gen2mutoff5gen7rcoff263,1,4.026879252055598
lang0gen1mutoff6gen2mutoff9,1,4.026879252055598
lang0gen1mutoff6gen4mutoff0,1,4.026879252055598
lang0gen1mutoff6gen4mutoff0gen6rcoff607,1,4.026879252055598
lang0gen1mutoff73,1,4.026879252055598
lang0gen1mutoff73gen2mutoff0,1,4.026879252055598
lang0gen1mutoff73gen2mutoff0gen3mutoff1,1,4.026879252055598
lang0gen1mutoff73gen2mutoff0gen3mutoff1gen5mutoff0,1,4.026879252055598
lang0gen1mutoff73gen2mutoff0gen3mutoff1gen5mutoff0gen8rcoff163,1,4.026879252055598
lang0gen1mutoff73gen2mutoff0gen3rcoff262,1,4.026879252055598
lang0gen1mutoff73gen2mutoff0gen6rcoff524,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen10rcoff209,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen3mutoff0,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen3mutoff2,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen3mutoff2gen13rcoff122,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen3mutoff2gen6rcoff180,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen6rcoff393,1,4.026879252055598
lang0gen1mutoff73gen2mutoff1gen6rcoff735,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen4rcoff173,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen4rcoff173gen5mutoff0,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen4rcoff173gen5mutoff0gen7rcoff48,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen5mutoff0,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen5rcoff77,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen5rcoff77gen10rcoff242,1,4.026879252055598
lang0gen1mutoff73gen2mutoff7gen3rcoff0gen6rcoff234,1,4.026879252055598
lang0gen1mutoff73gen3mutoff0,1,4.026879252055598
lang0gen1mutoff73gen3mutoff0gen4rcoff549,1,4.026879252055598
lang0gen1mutoff73gen3mutoff0gen4rcoff549gen5mutoff0,1,4.026879252055598
lang0gen1mutoff73gen4mutoff0,1,4.026879252055598
lang0gen1mutoff79,1,4.026879252055598
lang0gen1mutoff79gen2mutoff3,1,4.026879252055598
lang0gen1mutoff79gen2mutoff3gen14rcoff67,1,4.026879252055598
lang0gen1mutoff79gen2mutoff3gen3rcoff195,1,4.026879252055598
lang0gen1mutoff79gen2mutoff3gen3rcoff195gen4rcoff588,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69gen4mutoff0,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69gen4mutoff0gen8rcoff171,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69gen4mutoff0gen8rcoff171gen10rcoff262,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69gen4mutoff0gen9rcoff125,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69gen4mutoff0gen9rcoff125gen11rcoff43,1,4.026879252055598
lang0gen1mutoff79gen3rcoff69gen5rcoff63,1,4.026879252055598
lang0gen1mutoff79gen4mutoff0,1,4.026879252055598
lang0gen1mutoff79gen4mutoff0gen10rcoff0,1,4.026879252055598
lang0gen1mutoff79gen4mutoff0gen5rcoff61,1,4.026879252055598
lang0gen1mutoff79gen4mutoff0gen5rcoff61gen6rcoff516,1,4.026879252055598
lang0gen1mutoff79gen4mutoff0gen8rcoff495,1,4.026879252055598
lang0gen1mutoff79gen8rcoff462,1,4.026879252055598
lang0gen1mutoff82,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen15rcoff38,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen3mutoff0,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen3mutoff0gen5mutoff0,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen3mutoff0gen6rcoff342,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen3mutoff0gen9rcoff129,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen4mutoff0,1,4.026879252055598
lang0gen1mutoff82gen2mutoff4gen4mutoff0gen5rcoff5,1,4.026879252055598
lang0gen1mutoff82gen3mutoff0,1,4.026879252055598
lang0gen1mutoff82gen3mutoff0gen15rcoff66,1,4.026879252055598
lang0gen1mutoff82gen3mutoff0gen5mutoff0,1,4.026879252055598
lang0gen1mutoff82gen3mutoff1,1,4.026879252055598
lang0gen1mutoff82gen3mutoff1gen4rcoff540,1,4.026879252055598
lang0gen1mutoff82gen3rcoff117,1,4.026879252055598
lang0gen1mutoff82gen3rcoff117gen5mutoff0,1,4.026879252055598
lang0gen1mutoff82gen3rcoff117gen5mutoff0gen10rcoff20,1,4.026879252055598
lang0gen1mutoff82gen8rcoff323,1,4.026879252055598
lang0gen1mutoff82gen8rcoff323gen10rcoff263,1,4.026879252055598
lang0gen1mutoff82gen8rcoff323gen10rcoff52,1,4.026879252055598
lang0gen1mutoff82gen8rcoff323gen10rcoff52gen28rcoff1,1,4.026879252055598
lang0gen1mutoff95,1,4.026879252055598
lang0gen1mutoff95gen14rcoff56,1,4.026879252055598
lang0gen1mutoff95gen3mutoff0,1,4.026879252055598
lang0gen1mutoff95gen3mutoff0gen4rcoff269,1,4.026879252055598
lang0gen1mutoff95gen3mutoff0gen7rcoff57,1,4.026879252055598
lang0gen1mutoff99,1,4.026879252055598
lang0gen1mutoff99gen2mutoff0,1,4.026879252055598
