"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl1120",13,2.26150200710065,"Haspel-ok",1.09851929049204
"fl1121",20,1.60474118746266,"Haspel-ok",0.523065555599899
"fl1122",7,3.0605669227109,"Haspel-ok",1.71784103133337
"fl1123",15,1.75254544881243,"Haspel-ok",0.616983121126906
"fl1124",19,2.11833039293481,"Haspel-ok",1.02173286960309
"fl1125",11,2.40120096070721,"Haspel-ok",1.20008603165003
"fl1126",3,5.03786369071343,"Haspel-ok",2.30592828525159
"fl1127",10,1.50773562402957,"Haspel-ok",0.283490495355739
"fl1128",17,1.61146792873882,"Haspel-ok",0.497595249024807
"fl1129",14,4.52605531500684,"Haspel-ok",3.37715986257381
"fl113",9,2.43127765588723,"Haspel-ok",1.17564935295538
"fl1130",18,2.02836775330412,"Haspel-ok",0.924825775996094
"fl1131",21,1.7865786335607,"Haspel-ok",0.702550456165766
"fl1132",11,1.96892524487289,"Haspel-ok",0.767999018559821
"fl1133",7,1.92831712219998,"Haspel-ok",0.587466269125459
"fl1134",18,1.95770488722778,"Haspel-ok",0.854328231422015
"fl1135",11,1.92138666226763,"Haspel-ok",0.72049500517406
"fl1136",10,2.83101764012378,"Haspel-ok",1.60527009245781
"fl1137",12,2.09810346603436,"Haspel-ok",0.917440873318235
"fl1138",14,2.19786060241714,"Haspel-ok",1.05005100999834
"fl1139",8,2.17417891823178,"Haspel-ok",0.881274385177447
"fl114",12,2.12342735949837,"Haspel-ok",0.942758441001405
"fl1140",10,2.26381830986897,"Haspel-ok",1.03827021289935
"fl1141",14,2.79786852040395,"Haspel-ok",1.64948598829645
"fl1142",16,1.94275895233482,"Haspel-ok",0.81805901315243
"fl1143",2,3.70665044227079,"Haspel-ok",0.947373097865475
"fl1144",6,2.15743012830171,"Haspel-ok",0.751395545338303
"fl1145",9,2.52532359109244,"Haspel-ok",1.26964882171813
"fl1146",11,2.11727454384918,"Haspel-ok",0.916263495457014
"fl1147",14,2.60972709275807,"Haspel-ok",1.46147361018946
"fl1148",13,2.29591506313658,"Haspel-ok",1.13292919989434
"fl1149",19,2.46465285771435,"Haspel-ok",1.3675255556383
"fl115",10,2.06249283401672,"Haspel-ok",0.837080518879495
"fl1150",7,3.52742925756423,"Haspel-ok",2.18396497713096
"fl1151",15,2.45043978478544,"Haspel-ok",1.31481310490653
"fl1152",13,2.46735553531659,"Haspel-ok",1.30435646991827
"fl1153",13,1.79845064945665,"Haspel-ok",0.635543413569249
"fl1154",3,3.72793104202674,"Haspel-ok",1.74429160952646
"fl1155",10,1.67400716171836,"Haspel-ok",0.449200897595002
"fl1156",20,1.4049955706987,"Haspel-ok",0.329539121799831
"fl1157",17,2.60949520777629,"Haspel-ok",1.49478227385362
"fl1158",8,1.82901482610503,"Haspel-ok",0.536332234595404
"fl1159",10,2.03961802354785,"Haspel-ok",0.814225382735431
"fl116",6,2.62070433021015,"Haspel-ok",1.21332358373757
"fl1160",15,1.62394172278796,"Haspel-ok",0.488411320062071
"fl1161",6,1.97689252998463,"Haspel-ok",0.571375470343779
"fl1162",17,2.77545797311009,"Haspel-ok",1.66070320890069
"fl1163",12,2.23731323127412,"Haspel-ok",1.05661961224227
"fl1164",19,2.80754514542527,"Haspel-ok",1.71010456246449
"fl1165",16,2.76772559918296,"Haspel-ok",1.64301434606227
"fl1166",5,2.28352520376053,"Haspel-ok",0.785584477471638
"fl1167",8,2.66073664110195,"Haspel-ok",1.36730684932336
"fl1168",1,5.17602283539486,"Haspel-ok",0.360387081168309
"fl1169",2,7.94630872483221,"Haspel-ok",1.61393378473709
"fl117",6,1.82257507766655,"Haspel-ok",0.417582525085789
"fl1170",16,2.26580452269903,"Haspel-ok",1.14109820441061
"fl1171",12,2.17060229996423,"Haspel-ok",0.989922460325662
"fl1172",14,2.24874238713398,"Haspel-ok",1.10085998457556
"fl1173",1,4.28164000080908,"Haspel-ok",0.188008360120295
"fl1174",12,2.2480576810963,"Haspel-ok",1.06736200379005
"fl1175",10,2.39554317548747,"Haspel-ok",1.16993152048212
"fl1176",9,2.35081506840659,"Haspel-ok",1.09523285344949
"fl1177",6,3.42411644178116,"Haspel-ok",2.01433451085669
"fl1178",16,2.03135039809592,"Haspel-ok",0.906648257139742
"fl1179",17,2.05726984005972,"Haspel-ok",0.942802111497198
"fl118",22,1.80325382323368,"Haspel-ok",0.730364671546909
"fl1180",8,2.91394788096454,"Haspel-ok",1.62033218867692
"fl1181",12,1.90383433217911,"Haspel-ok",0.723234999423029
"fl1182",6,2.76118190189494,"Haspel-ok",1.35341084970157
"fl1183",10,2.2737399415276,"Haspel-ok",1.04818650114955
"fl1184",15,1.85491972878283,"Haspel-ok",0.719340146704335
"fl1185",3,3.73418031780742,"Haspel-ok",1.74960309286821
"fl1186",2,4.55250905328505,"Haspel-ok",1.22379709192397
"fl1187",2,3.70665044227079,"Haspel-ok",0.947373097865475
"fl1188",5,2.85054689614546,"Haspel-ok",1.34905285938161
"fl1189",8,2.39297000397665,"Haspel-ok",1.09982988966507
"fl119",18,2.13044555273687,"Haspel-ok",1.02670489070414
"fl1190",17,2.02986491420195,"Haspel-ok",0.915417057636282
"fl1191",7,1.92428105230059,"Haspel-ok",0.583432643063709
"fl1192",2,3.70665044227079,"Haspel-ok",0.947373097865475
"fl1193",18,2.23996276434892,"Haspel-ok",1.136048602605
"fl1194",7,1.99560612526859,"Haspel-ok",0.654592813780782
"fl1195",21,1.99910673010467,"Haspel-ok",0.914855489707289
"fl1196",22,2.15137440904706,"Haspel-ok",1.07634667737563
"fl1197",2,3.80952380952381,"Haspel-ok",0.991134009323199
"fl1198",7,3.52191232632377,"Haspel-ok",2.17845620152502
"fl1199",9,2.08118732510734,"Haspel-ok",0.825825004628659
"fl12",9,1.77275734910538,"Haspel-ok",0.517879608140423
"fl120",2,7.94630872483221,"Haspel-ok",1.61393378473709
"fl1200",9,2.59360992378822,"Haspel-ok",1.33790550800075
"fl1201",13,1.82028009320307,"Haspel-ok",0.657366910802945
"fl1202",9,1.58590920913216,"Haspel-ok",0.331035841201848
"fl1203",16,2.16443988351089,"Haspel-ok",1.03973514008648
"fl1204",19,2.56830034708659,"Haspel-ok",1.47106295449617
"fl1205",4,2.64531207262151,"Haspel-ok",1.00269600214695
"fl1206",12,2.35891289252951,"Haspel-ok",1.17819817063467
"fl1207",14,2.31386890443507,"Haspel-ok",1.16590257427169
"fl1208",8,2.31835450055742,"Haspel-ok",1.02532204809144
"fl1209",4,3.35200493522517,"Haspel-ok",1.69681520385371
"fl121",10,2.30531615091037,"Haspel-ok",1.07974635820748
"fl1210",17,2.23714460818742,"Haspel-ok",1.12257052332863
"fl1211",10,1.88042077873789,"Haspel-ok",0.655203095305317
"fl1212",11,3.29879699616087,"Haspel-ok",2.09753862363004
"fl1213",6,2.52450803730624,"Haspel-ok",1.11744013443291
"fl1214",5,3.12798250457709,"Haspel-ok",1.62467015488572
"fl1215",13,2.80926073978846,"Haspel-ok",1.64624355510821
"fl1216",12,2.15252937878796,"Haspel-ok",0.97185359781252
"fl1217",2,4.00225963168004,"Haspel-ok",1.06424204023406
"fl1218",10,1.72607605575618,"Haspel-ok",0.501134077769838
"fl1219",17,2.56820019581262,"Haspel-ok",1.45349915409156
"fl122",15,1.48884357388744,"Haspel-ok",0.353371733027224
"fl1220",14,1.77123169273393,"Haspel-ok",0.624499232600072
"fl1221",3,2.9059149537255,"Haspel-ok",1.00035093796922
"fl1222",8,2.10967722675288,"Haspel-ok",0.816799921945564
"fl1223",8,2.44807664656003,"Haspel-ok",1.15486594449718
"fl1224",21,2.00869380484762,"Haspel-ok",0.924434918565691
"fl1225",12,1.49681973373256,"Haspel-ok",0.316604704572694
"fl1226",10,2.36536291927683,"Haspel-ok",1.13976452935891
"fl1227",18,2.1604699527489,"Haspel-ok",1.05667814991196
"fl1228",2,3.64584109017798,"Haspel-ok",0.919802870782297
"fl1229",2,4.55250905328505,"Haspel-ok",1.22379709192397
"fl123",19,2.3746327331515,"Haspel-ok",1.27761553346974
"fl1230",5,2.02235611939163,"Haspel-ok",0.526022928669355
"fl1231",14,1.49558497597058,"Haspel-ok",0.350166974165929
"fl1232",6,3.08211571883385,"Haspel-ok",1.67336099626255
"fl1233",13,1.8283813377133,"Haspel-ok",0.665466047713982
"fl1234",7,3.19896382208354,"Haspel-ok",1.85604491752534
"fl1235",9,2.14790994039985,"Haspel-ok",0.892480838183119
"fl1236",3,5.17602283539486,"Haspel-ok",2.33242164254959
"fl1237",9,1.91510078238098,"Haspel-ok",0.659963309600748
"fl1238",7,3.17236721501279,"Haspel-ok",1.8294831378615
"fl1239",10,1.72607605575618,"Haspel-ok",0.501134077769838
"fl124",7,2.11113284905927,"Haspel-ok",0.769885342248334
"fl1240",13,2.02365977227312,"Haspel-ok",0.860705682137336
"fl1241",12,2.07848122530558,"Haspel-ok",0.897823779472393
"fl1242",3,4.10282579575174,"Haspel-ok",2.01583863247182
"fl1243",11,1.69407336132344,"Haspel-ok",0.493439050798341
"fl1244",16,2.34743116491352,"Haspel-ok",1.22272376821895
"fl1245",4,3.35200493522517,"Haspel-ok",1.69681520385371
"fl1246",7,3.07079630023063,"Haspel-ok",1.72805508523327
"fl1247",11,2.90016566333953,"Haspel-ok",1.69895228767746
"fl1248",5,8.50796499887817,"Haspel-ok",4.63950741317128
"fl1249",9,2.49250644122044,"Haspel-ok",1.23684708374595
"fl125",2,3.70665044227079,"Haspel-ok",0.947373097865475
"fl1250",10,3.04823475840329,"Haspel-ok",1.82244369931607
"fl1251",8,3.56581745999896,"Haspel-ok",2.27157749434223
"fl1252",5,2.83056186359974,"Haspel-ok",1.32919167888295
"fl1253",2,12.3076923076923,"Haspel-ok",1.76342750219107
"fl1254",2,4.00225963168004,"Haspel-ok",1.06424204023406
"fl1255",10,1.85430690527566,"Haspel-ok",0.629126369740838
"fl1256",3,3.72793104202674,"Haspel-ok",1.74429160952646
"fl1257",13,2.01058086239774,"Haspel-ok",0.847628812395369
"fl1258",14,2.54125945617502,"Haspel-ok",1.39306158468653
"fl1259",2,3.64584109017798,"Haspel-ok",0.919802870782297
"fl126",14,2.12477788450103,"Haspel-ok",0.977086129714122
"fl1260",8,2.50248982334555,"Haspel-ok",1.20921573053327
"fl1261",3,4.59165053912082,"Haspel-ok",2.19986098324335
"fl1262",10,2.48022649861243,"Haspel-ok",1.25458102987343
"fl1263",10,2.01942755081153,"Haspel-ok",0.794053216972722
"fl1264",7,2.84538370121467,"Haspel-ok",1.50302846190154
"fl1265",2,4.00225963168004,"Haspel-ok",1.06424204023406
"fl1266",12,2.98918530821966,"Haspel-ok",1.80840667940749
"fl1267",9,1.83938721792574,"Haspel-ok",0.584394629824831
"fl1268",15,1.92336942039626,"Haspel-ok",0.787780803078725
"fl1269",9,2.14837276080921,"Haspel-ok",0.892943230198189
"fl127",16,1.92493602628228,"Haspel-ok",0.800236588958065
"fl1270",8,3.35200493522517,"Haspel-ok",2.05794675757439
"fl1271",3,3.0211169912141,"Haspel-ok",1.10760478967421
"fl1272",19,1.93018772659152,"Haspel-ok",0.834062315388772
"fl1273",6,2.08711208288817,"Haspel-ok",0.681315567887413
"fl1274",8,1.67089075296409,"Haspel-ok",0.378445031391857
"fl1275",19,1.91929595000546,"Haspel-ok",0.823204469712869
"fl1276",2,3.68451044145745,"Haspel-ok",0.937485628000662
"fl1277",19,2.0410035590126,"Haspel-ok",0.944577338898439
"fl1278",17,1.81893371725713,"Haspel-ok",0.704690525633778
"fl1279",14,2.51802543625114,"Haspel-ok",1.36984769878278
"fl128",19,1.61082123112748,"Haspel-ok",0.516284602558096
"fl1280",19,2.15200608556171,"Haspel-ok",1.0553417981157
"fl1281",8,3.09641084363834,"Haspel-ok",1.80262654267111
"fl1282",4,2.03638793769575,"Haspel-ok",0.40326026805236
"fl1283",3,3.05732484076433,"Haspel-ok",1.14119001943534
"fl1284",18,1.99208993224387,"Haspel-ok",0.888629549497373
"fl1285",8,2.98257314953495,"Haspel-ok",1.68891667185405
"fl1286",6,2.75119419008018,"Haspel-ok",1.34345407509048
"fl1287",11,1.45921240734774,"Haspel-ok",0.259318043123409
"fl1288",16,2.13763691853888,"Haspel-ok",1.01293264423265
"fl1289",3,3.05732484076433,"Haspel-ok",1.14119001943534
"fl129",20,2.08702806007042,"Haspel-ok",1.00046489665157
"fl1290",17,2.56424481460484,"Haspel-ok",1.44954494751399
"fl1291",2,5.49663928304705,"Haspel-ok",1.39661113246577
"fl1292",12,1.89616710225154,"Haspel-ok",0.715570970637253
"fl1293",4,3.59495605655331,"Haspel-ok",1.93493930103817
"fl1294",22,2.03128668987193,"Haspel-ok",0.956821422069256
"fl1295",16,2.22267459653952,"Haspel-ok",1.0979689128039
"fl1296",8,2.95343176325171,"Haspel-ok",1.6597921930123
"fl1297",3,3.05732484076433,"Haspel-ok",1.14119001943534
"fl1298",15,2.89311877078393,"Haspel-ok",1.75747776171599
"fl1299",4,2.29686379320804,"Haspel-ok",0.659806304586489
"fl13",2,3.68451044145745,"Haspel-ok",0.937485628000662
"fl130",6,2.77792063534611,"Haspel-ok",1.37009240535435
"fl1300",13,1.39891172657003,"Haspel-ok",0.236307453721734
"fl1301",2,3.70665044227079,"Haspel-ok",0.947373097865475
"fl1302",20,2.5745995211084,"Haspel-ok",1.48630660624218
"fl1303",2,3.64584109017798,"Haspel-ok",0.919802870782297
"fl1304",18,2.2974469860613,"Haspel-ok",1.19345448967716
"fl1305",10,2.78752221557282,"Haspel-ok",1.56178483489489
"fl1306",12,1.89925338420413,"Haspel-ok",0.718655955825684
"fl1307",14,2.31806544381444,"Haspel-ok",1.17009402582679
"fl1308",13,1.52631038604199,"Haspel-ok",0.363537226910025
"fl1309",4,2.0245200899486,"Haspel-ok",0.391556009815661
"fl131",17,1.87358716532345,"Haspel-ok",0.759280034457423
"fl1310",19,1.72497502932185,"Haspel-ok",0.629685922350483
"fl1311",1,4.28164000080908,"Haspel-ok",0.188008360120295
"fl1312",4,4.00225963168004,"Haspel-ok",2.33339148307597
"fl1313",7,2.29611680868376,"Haspel-ok",0.954612239862224
"fl1314",17,1.82837967930785,"Haspel-ok",0.714124737661052
"fl1315",11,1.76869097743544,"Haspel-ok",0.567949492095736
"fl1316",9,2.44312142113124,"Haspel-ok",1.18748686142078
"fl1317",7,2.47709901644527,"Haspel-ok",1.1353030890833
"fl1318",13,2.95625929238169,"Haspel-ok",1.79320560786318
